state,restaurant_id,time_period,total_emp
0,1,Feb,40.5
0,1,Nov,24
0,2,Feb,13.75
0,2,Nov,11.5
0,3,Feb,8.5
0,3,Nov,10.5
0,4,Feb,34
0,4,Nov,20
0,5,Feb,24
0,5,Nov,35.5
0,6,Feb,70.5
0,6,Nov,29
0,7,Feb,23.5
0,7,Nov,36.5
0,8,Feb,11
0,8,Nov,11
0,9,Feb,9
0,9,Nov,8.5
0,10,Feb,15.5
0,10,Nov,17.5
0,11,Feb,58
0,11,Nov,29
0,12,Feb,26.5
0,12,Nov,30.5
0,13,Feb,28.5
0,13,Nov,26
0,14,Feb,13.5
0,14,Nov,18
0,15,Feb,16.75
0,15,Nov,20
0,16,Feb,9.5
0,16,Nov,13.5
0,17,Feb,15
0,17,Nov,19
0,18,Feb,29.5
0,18,Nov,15.5
0,19,Feb,18.5
0,19,Nov,14.5
0,20,Feb,20.25
0,20,Nov,14
0,21,Feb,36
0,21,Nov,19
0,22,Feb,21
0,22,Nov,21
0,23,Feb,20.5
0,23,Nov,18
0,24,Feb,19
0,24,Nov,20.5
0,25,Feb,14
0,25,Nov,13.5
0,26,Feb,19
0,26,Nov,17.5
0,27,Feb,32.5
0,27,Nov,25.5
0,28,Feb,19
0,28,Nov,15.5
0,29,Feb,27
0,29,Nov,25.5
0,30,Feb,19.5
0,30,Nov,27
0,31,Feb,24
0,31,Nov,16
0,32,Feb,18
0,32,Nov,19
0,33,Feb,19
0,33,Nov,25
0,34,Feb,14
0,34,Nov,17
0,35,Feb,10.5
0,35,Nov,16.5
0,36,Feb,38
0,36,Nov,20
0,37,Feb,23.5
0,37,Nov,18
0,38,Feb,10.5
0,38,Nov,12
0,39,Feb,25
0,39,Nov,25
0,40,Feb,11
0,40,Nov,11
0,41,Feb,36.5
0,41,Nov,27
0,42,Feb,52.5
0,42,Nov,34
0,43,Feb,29
0,43,Nov,25
0,44,Feb,45
0,44,Nov,37.5
0,45,Feb,22.75
0,45,Nov,21
0,46,Feb,7.5
0,46,Nov,9.5
0,47,Feb,15.5
0,47,Nov,18
0,48,Feb,38
0,48,Nov,18
0,49,Feb,17.5
0,49,Nov,19
0,50,Feb,25
0,50,Nov,31.5
0,51,Feb,21
0,51,Nov,24.5
0,52,Feb,15.5
0,52,Nov,27.5
0,53,Feb,15.5
0,53,Nov,34.5
0,54,Feb,8.5
0,54,Nov,14
0,55,Feb,18
0,55,Nov,15
0,56,Feb,20.75
0,56,Nov,23
0,57,Feb,39
0,57,Nov,26.5
0,58,Feb,41.5
0,58,Nov,23.5
0,59,Feb,22.5
0,59,Nov,35.5
0,60,Feb,32
0,60,Nov,21
0,61,Feb,24
0,61,Nov,23
0,62,Feb,26
0,62,Nov,20
0,63,Feb,48.5
0,63,Nov,27
0,64,Feb,8.5
0,64,Nov,13
0,65,Feb,18.5
0,65,Nov,0
0,66,Feb,13
0,66,Nov,13.5
0,67,Feb,28
0,67,Nov,26.75
0,68,Feb,24.5
0,68,Nov,43.5
0,69,Feb,18.5
0,69,Nov,41.25
0,70,Feb,23.5
0,70,Nov,14.25
0,71,Feb,15
0,71,Nov,12.5
0,72,Feb,18
0,72,Nov,34
0,73,Feb,20.25
0,73,Nov,10
0,74,Feb,15.5
0,74,Nov,14
0,75,Feb,21
0,75,Nov,17.5
1,76,Feb,15
1,76,Nov,32
1,77,Feb,15
1,77,Nov,26.5
1,78,Feb,24
1,78,Nov,28
1,79,Feb,19.25
1,79,Nov,26.5
1,80,Feb,21.5
1,80,Nov,39.5
1,81,Feb,9.5
1,81,Nov,15.5
1,82,Feb,44
1,82,Nov,21.5
1,83,Feb,21
1,83,Nov,43
1,84,Feb,28
1,84,Nov,41
1,85,Feb,10
1,85,Nov,21
1,86,Feb,20.5
1,86,Nov,25.5
1,87,Feb,25.5
1,87,Nov,24
1,88,Feb,19
1,88,Nov,58
1,89,Feb,16.5
1,89,Nov,21.5
1,90,Feb,17
1,90,Nov,21.5
1,91,Feb,27.5
1,91,Nov,50
1,92,Feb,5
1,92,Nov,13
1,93,Feb,16
1,93,Nov,20.5
1,94,Feb,41.5
1,94,Nov,29
1,95,Feb,13
1,95,Nov,12.5
1,96,Feb,10
1,96,Nov,12.5
1,97,Feb,15
1,97,Nov,23.5
1,98,Feb,26
1,98,Nov,21.5
1,99,Feb,18
1,99,Nov,38.5
1,100,Feb,35
1,100,Nov,42
1,101,Feb,21
1,101,Nov,23
1,102,Feb,34.5
1,102,Nov,31.5
1,103,Feb,18.25
1,103,Nov,38
1,104,Feb,20
1,104,Nov,25.5
1,105,Feb,16
1,105,Nov,29.5
1,106,Feb,17.5
1,106,Nov,21
1,107,Feb,20
1,107,Nov,28.5
1,108,Feb,12.25
1,108,Nov,18
1,109,Feb,33
1,109,Nov,25
1,110,Feb,31.5
1,110,Nov,27
1,111,Feb,28
1,111,Nov,30.5
1,112,Feb,16.5
1,112,Nov,23
1,113,Feb,14.75
1,113,Nov,14
1,114,Feb,23.5
1,114,Nov,31.5
1,115,Feb,10
1,115,Nov,5
1,116,Feb,46.5
1,116,Nov,28.75
1,117,Feb,15.5
1,117,Nov,23
1,118,Feb,24.5
1,118,Nov,41
1,119,Feb,24
1,119,Nov,26
1,120,Feb,23
1,120,Nov,20.5
1,121,Feb,28
1,121,Nov,27.5
1,122,Feb,32.5
1,122,Nov,32
1,123,Feb,23
1,123,Nov,39
1,124,Feb,17
1,124,Nov,21.75
1,125,Feb,30
1,125,Nov,31
1,126,Feb,21.5
1,126,Nov,23
1,127,Feb,32
1,127,Nov,25.5
1,128,Feb,8
1,128,Nov,20
1,129,Feb,35.5
1,129,Nov,30.5
1,130,Feb,33
1,130,Nov,25
1,131,Feb,22
1,131,Nov,23
1,132,Feb,23
1,132,Nov,31.5
1,133,Feb,23
1,133,Nov,28.25
1,134,Feb,8.5
1,134,Nov,15.5
1,135,Feb,12.5
1,135,Nov,17
1,136,Feb,9.5
1,136,Nov,14.5
1,137,Feb,13
1,137,Nov,20.5
1,138,Feb,17
1,138,Nov,19.5
1,139,Feb,9
1,139,Nov,19
1,140,Feb,19
1,140,Nov,11.5
1,141,Feb,11.5
1,141,Nov,15
1,142,Feb,13
1,142,Nov,16.5
1,143,Feb,48
1,143,Nov,51.5
1,144,Feb,45.5
1,144,Nov,31.5
1,145,Feb,15
1,145,Nov,21
1,146,Feb,18
1,146,Nov,18
1,147,Feb,21
1,147,Nov,19
1,148,Feb,20.5
1,148,Nov,20.5
1,149,Feb,20.5
1,149,Nov,23
1,150,Feb,17.5
1,150,Nov,32
1,151,Feb,27.5
1,151,Nov,32
1,152,Feb,24
1,152,Nov,34.5
1,153,Feb,34
1,153,Nov,21.5
1,154,Feb,18
1,154,Nov,36.5
1,155,Feb,24
1,155,Nov,32.5
1,156,Feb,33.5
1,156,Nov,37
1,157,Feb,12
1,157,Nov,19.5
1,158,Feb,35
1,158,Nov,15.5
1,159,Feb,35
1,159,Nov,49
1,160,Feb,16
1,160,Nov,20.5
1,161,Feb,15.5
1,161,Nov,15.5
1,162,Feb,19
1,162,Nov,29
1,163,Feb,24
1,163,Nov,34
1,164,Feb,36
1,164,Nov,25
1,165,Feb,29
1,165,Nov,31.5
1,166,Feb,29
1,166,Nov,32
1,167,Feb,21.25
1,167,Nov,31.5
1,168,Feb,15.5
1,168,Nov,15.5
1,169,Feb,19.5
1,169,Nov,23
1,170,Feb,21
1,170,Nov,23.5
1,171,Feb,14
1,171,Nov,30.5
1,172,Feb,30.5
1,172,Nov,37
1,173,Feb,23.5
1,173,Nov,38
1,174,Feb,14
1,174,Nov,12.5
1,175,Feb,14.5
1,175,Nov,17.5
1,176,Feb,15.5
1,176,Nov,29
1,177,Feb,26.5
1,177,Nov,34
1,178,Feb,8
1,178,Nov,15
1,179,Feb,5.5
1,179,Nov,14.5
1,180,Feb,23.25
1,180,Nov,22.5
1,181,Feb,15.5
1,181,Nov,22.5
1,182,Feb,32.25
1,182,Nov,30
1,183,Feb,30
1,183,Nov,31
1,184,Feb,30.5
1,184,Nov,27.5
1,185,Feb,27
1,185,Nov,40
1,186,Feb,18.5
1,186,Nov,22.75
1,187,Feb,38
1,187,Nov,29.5
1,188,Feb,16.5
1,188,Nov,21.5
1,189,Feb,50
1,189,Nov,35
1,190,Feb,20.5
1,190,Nov,44
1,191,Feb,6.5
1,191,Nov,22
1,192,Feb,13.5
1,192,Nov,17.5
1,193,Feb,28
1,193,Nov,43.5
1,194,Feb,21.5
1,194,Nov,25
1,195,Feb,24
1,195,Nov,37
1,196,Feb,20.5
1,196,Nov,24
1,197,Feb,23.5
1,197,Nov,31.5
1,198,Feb,23
1,198,Nov,24
1,199,Feb,17
1,199,Nov,25
1,200,Feb,20.5
1,200,Nov,27.5
1,201,Feb,23.5
1,201,Nov,15
1,202,Feb,9.5
1,202,Nov,17.5
1,203,Feb,10
1,203,Nov,16
1,204,Feb,14
1,204,Nov,17.5
1,205,Feb,85
1,205,Nov,64
1,206,Feb,15
1,206,Nov,24
1,207,Feb,21.5
1,207,Nov,20.5
1,208,Feb,53
1,208,Nov,24
1,209,Feb,24
1,209,Nov,31.5
1,210,Feb,20.5
1,210,Nov,22.5
1,211,Feb,14.5
1,211,Nov,25.5
1,212,Feb,25
1,212,Nov,33
1,213,Feb,27
1,213,Nov,35.25
1,214,Feb,22.5
1,214,Nov,49
1,215,Feb,36.5
1,215,Nov,22.5
1,216,Feb,17.25
1,216,Nov,36
1,217,Feb,21.5
1,217,Nov,36
1,218,Feb,24.5
1,218,Nov,33.5
1,219,Feb,19
1,219,Nov,24
1,220,Feb,25
1,220,Nov,46
1,221,Feb,16
1,221,Nov,33
1,222,Feb,19
1,222,Nov,14.5
1,223,Feb,22.75
1,223,Nov,30
1,224,Feb,35
1,224,Nov,33
1,225,Feb,16
1,225,Nov,21
1,226,Feb,21
1,226,Nov,27.75
1,227,Feb,30.5
1,227,Nov,37
1,228,Feb,23
1,228,Nov,32.5
1,229,Feb,21.5
1,229,Nov,30.5
1,230,Feb,36.5
1,230,Nov,65.5
1,231,Feb,23
1,231,Nov,25.5
1,232,Feb,14
1,232,Nov,21
1,233,Feb,17.25
1,233,Nov,30
1,234,Feb,18.5
1,234,Nov,18
1,235,Feb,8.5
1,235,Nov,14
1,236,Feb,14
1,236,Nov,21.5
1,237,Feb,23
1,237,Nov,26
1,238,Feb,29
1,238,Nov,26.5
1,239,Feb,19
1,239,Nov,25
1,240,Feb,21
1,240,Nov,26.25
1,241,Feb,17
1,241,Nov,26.5
1,242,Feb,36
1,242,Nov,36
1,243,Feb,25
1,243,Nov,38
1,244,Feb,29.5
1,244,Nov,42.75
1,245,Feb,22
1,245,Nov,14
1,246,Feb,11
1,246,Nov,16
1,247,Feb,13.5
1,247,Nov,17.75
1,248,Feb,13.5
1,248,Nov,15.5
1,249,Feb,18
1,249,Nov,27
1,250,Feb,9.5
1,250,Nov,13
1,251,Feb,24
1,251,Nov,30
1,252,Feb,14.5
1,252,Nov,17.5
1,253,Feb,29
1,253,Nov,27.5
1,254,Feb,10.5
1,254,Nov,16.5
1,255,Feb,18
1,255,Nov,28.5
1,256,Feb,9
1,256,Nov,21.5
1,257,Feb,33
1,257,Nov,34
1,258,Feb,19.5
1,258,Nov,35
1,259,Feb,41
1,259,Nov,27.5
1,260,Feb,17
1,260,Nov,29
1,261,Feb,18.25
1,261,Nov,26.75
1,262,Feb,17
1,262,Nov,18.5
1,263,Feb,32
1,263,Nov,29
1,264,Feb,26
1,264,Nov,33.5
1,265,Feb,11.5
1,265,Nov,15
1,266,Feb,21
1,266,Nov,28.5
1,267,Feb,22.75
1,267,Nov,35.5
1,268,Feb,18.5
1,268,Nov,29.75
1,269,Feb,20
1,269,Nov,27.5
1,270,Feb,18
1,270,Nov,33
1,271,Feb,10.5
1,271,Nov,19
1,272,Feb,10.5
1,272,Nov,14
1,273,Feb,11
1,273,Nov,14.5
1,274,Feb,10.5
1,274,Nov,20.5
1,275,Feb,12.5
1,275,Nov,17
1,276,Feb,18
1,276,Nov,16.5
1,277,Feb,17
1,277,Nov,17.5
1,278,Feb,15
1,278,Nov,21
1,279,Feb,19.5
1,279,Nov,33.5
1,280,Feb,13
1,280,Nov,20
1,281,Feb,20.25
1,281,Nov,28.5
1,282,Feb,26
1,282,Nov,35.5
1,283,Feb,15.5
1,283,Nov,31.5
1,284,Feb,24
1,284,Nov,32
1,285,Feb,25.5
1,285,Nov,26.5
1,286,Feb,21.5
1,286,Nov,26.5
1,287,Feb,14
1,287,Nov,42.5
1,288,Feb,20
1,288,Nov,16.5
1,289,Feb,22.5
1,289,Nov,26
1,290,Feb,30
1,290,Nov,33
1,291,Feb,24
1,291,Nov,29
1,292,Feb,22
1,292,Nov,28
1,293,Feb,13
1,293,Nov,24
1,294,Feb,5
1,294,Nov,12
1,295,Feb,13.5
1,295,Nov,19
1,296,Feb,18
1,296,Nov,37
1,297,Feb,24
1,297,Nov,27
1,298,Feb,16.5
1,298,Nov,19.25
1,299,Feb,7
1,299,Nov,21.5
1,300,Feb,11
1,300,Nov,5
1,301,Feb,19.5
1,301,Nov,52.5
1,302,Feb,10
1,302,Nov,20.5
1,303,Feb,13
1,303,Nov,15.5
1,304,Feb,10
1,304,Nov,12
1,305,Feb,12.5
1,305,Nov,16
1,306,Feb,8
1,306,Nov,13.5
1,307,Feb,12
1,307,Nov,5
1,308,Feb,20.5
1,308,Nov,20
1,309,Feb,18.5
1,309,Nov,18.5
1,310,Feb,11.5
1,310,Nov,17.5
1,311,Feb,15
1,311,Nov,17.5
1,312,Feb,13
1,312,Nov,17.5
1,313,Feb,10
1,313,Nov,15
1,314,Feb,17
1,314,Nov,18.5
1,315,Feb,17
1,315,Nov,21
1,316,Feb,20.5
1,316,Nov,28.5
1,317,Feb,19.5
1,317,Nov,39
1,318,Feb,30.5
1,318,Nov,37.5
1,319,Feb,23
1,319,Nov,26.5
1,320,Feb,13
1,320,Nov,25
1,321,Feb,30.25
1,321,Nov,48.5
1,322,Feb,18
1,322,Nov,22.5
1,323,Feb,10
1,323,Nov,12
1,324,Feb,17
1,324,Nov,27
1,325,Feb,25.5
1,325,Nov,27
1,326,Feb,6
1,326,Nov,12
1,327,Feb,11.5
1,327,Nov,19
1,328,Feb,8.5
1,328,Nov,32
1,329,Feb,18.5
1,329,Nov,23.5
1,330,Feb,15.5
1,330,Nov,16.5
1,331,Feb,14.25
1,331,Nov,21
1,332,Feb,38
1,332,Nov,30
1,333,Feb,24.75
1,333,Nov,35.5
1,334,Feb,23
1,334,Nov,16.5
1,335,Feb,24
1,335,Nov,30.5
1,336,Feb,7.5
1,336,Nov,14.5
1,337,Feb,15
1,337,Nov,16.5
1,338,Feb,9.25
1,338,Nov,17
1,339,Feb,11.25
1,339,Nov,5
1,340,Feb,16.5
1,340,Nov,22
1,341,Feb,18.75
1,341,Nov,29
1,342,Feb,13.5
1,342,Nov,18.5
1,343,Feb,15
1,343,Nov,22
1,344,Feb,17.5
1,344,Nov,33
1,345,Feb,17.5
1,345,Nov,26.5
1,346,Feb,15.5
1,346,Nov,24.5
1,347,Feb,16.5
1,347,Nov,25
1,348,Feb,13.5
1,348,Nov,19.5
1,349,Feb,13
1,349,Nov,19.5
1,350,Feb,11.5
1,350,Nov,5
1,351,Feb,29.05
1,351,Nov,36.5
1,352,Feb,13
1,352,Nov,16.5
1,353,Feb,18
1,353,Nov,25
1,354,Feb,30
1,354,Nov,39
1,355,Feb,20.5
1,355,Nov,30
1,356,Feb,10
1,356,Nov,15
1,357,Feb,26
1,357,Nov,30
1,358,Feb,12.5
1,358,Nov,28
1,359,Feb,19.5
1,359,Nov,22.5
1,360,Feb,12
1,360,Nov,28
1,361,Feb,36
1,361,Nov,31
1,362,Feb,21
1,362,Nov,21.5
1,363,Feb,24.5
1,363,Nov,40.5
1,364,Feb,20
1,364,Nov,36
1,365,Feb,26.5
1,365,Nov,28
1,366,Feb,15
1,366,Nov,27.5
1,367,Feb,19
1,367,Nov,26.5
1,368,Feb,17.5
1,368,Nov,17
1,369,Feb,20.5
1,369,Nov,25.5
1,370,Feb,21
1,370,Nov,30
1,371,Feb,10.5
1,371,Nov,13.5
1,372,Feb,23
1,372,Nov,18
1,373,Feb,23
1,373,Nov,26.5
1,374,Feb,29
1,374,Nov,28
1,375,Feb,21
1,375,Nov,30.5
1,376,Feb,41.5
1,376,Nov,26.5
1,377,Feb,12
1,377,Nov,14.5
1,378,Feb,33
1,378,Nov,41.5
1,379,Feb,6.5
1,379,Nov,21
1,380,Feb,9
1,380,Nov,28.75
1,381,Feb,9.75
1,381,Nov,22.5
1,382,Feb,24.5
1,382,Nov,25.5
1,383,Feb,14
1,383,Nov,25.5
1,384,Feb,19.5
1,384,Nov,30
